고유 ID,주문 Id,주문 날짜,배송 날짜,배송 형태,고객번호,고객 이름,세그먼트,국가,지역,시도,시군구,제품 코드,범주,하위 범주,매출,수량,수익,할인율
1,IN-2020-47883,2020-01-01,2020-01-08,일반 배송,GG-15985,양일권,소비자,대한민국,수도권,경기도,성남시,OFF-SU-10000618,사무용품,일반 사무용품,122773.32,3,36756.72,0.10 
2,IN-2020-47883,2020-01-01,2020-01-08,일반 배송,GG-15985,양일권,소비자,대한민국,수도권,경기도,성남시,OFF-PA-10001968,사무용품,종이,56346.84,2,15648.84,0.10 
3,IN-2020-47883,2020-01-01,2020-01-08,일반 배송,GG-15985,양일권,소비자,대한민국,수도권,경기도,성남시,FUR-FU-10003447,가구,가구류,115943.4,5,38525.4,0.10 
4,ID-2020-80230,2020-01-02,2020-01-08,일반 배송,SJ-16645,안동윤,소비자,대한민국,충청,세종특별자치시,,TEC-CO-10004182,사무기기,복사기,930705.12,4,-325853.28,0.40 
5,ID-2020-80230,2020-01-02,2020-01-08,일반 배송,SJ-16645,안동윤,소비자,대한민국,충청,세종특별자치시,,FUR-CH-10000214,가구,의자,162632.88,2,-97589.52,0.40 
6,ID-2020-80230,2020-01-02,2020-01-08,일반 배송,SJ-16645,안동윤,소비자,대한민국,충청,세종특별자치시,,FUR-CH-10000666,가구,의자,70245.36,2,-26940.24,0.40 
7,ID-2020-80230,2020-01-02,2020-01-08,일반 배송,SJ-16645,안동윤,소비자,대한민국,충청,세종특별자치시,,TEC-AC-10002881,사무기기,악세사리,70686,2,3488.4,0.40 
8,ID-2020-12596,2020-01-03,2020-01-08,일반 배송,SE-12235,정단비,소비자,대한민국,수도권,서울특별시,서초구,OFF-ST-10002066,사무용품,수납용품,137820.564,2,-46819.836,0.47 
9,IN-2020-79397,2020-01-03,2020-01-03,당일 배송,GN-16450,최이슬,기업 고객,대한민국,부울경,경상남도,사천시,OFF-LA-10003396,사무용품,라벨,36600.66,3,4837.86,0.10 
10,IN-2020-79397,2020-01-03,2020-01-03,당일 배송,GN-16450,최이슬,기업 고객,대한민국,부울경,경상남도,사천시,OFF-AP-10000304,사무용품,가전,281624.04,1,112620.24,0.10 
11,IN-2020-33652,2020-01-03,2020-01-09,일반 배송,BS-13390,최찬호,홈 오피스,대한민국,부울경,부산광역시,서구,TEC-CO-10000594,사무기기,복사기,196727.4,1,51132.6,0.00 
12,IN-2020-65159,2020-01-03,2020-01-07,일반 배송,CN-16735,한수연,소비자,대한민국,충청,충청남도,부여군,OFF-FA-10002569,사무용품,파스너,6126.12,1,556.92,0.45 
13,IN-2020-65159,2020-01-03,2020-01-07,일반 배송,CN-16735,한수연,소비자,대한민국,충청,충청남도,부여군,FUR-TA-10002797,가구,탁자,215404.11,1,-71807.49,0.55 
14,IN-2020-65159,2020-01-03,2020-01-07,일반 배송,CN-16735,한수연,소비자,대한민국,충청,충청남도,부여군,OFF-ST-10003020,사무용품,수납용품,344392.29,3,-125256.51,0.45 
15,IN-2020-33036,2020-01-04,2020-01-08,일반 배송,GG-11500,성선엽,소비자,대한민국,수도권,경기도,군포시,OFF-LA-10000784,사무용품,라벨,27907.2,3,13953.6,0.00 
16,IN-2020-27681,2020-01-05,2020-01-11,일반 배송,GG-20455,박주선,소비자,대한민국,수도권,경기도,부천시,FUR-FU-10000394,가구,가구류,49755.6,1,23378.4,0.00 
17,IN-2020-76107,2020-01-06,2020-01-10,일반 배송,GG-16660,원지혜,소비자,대한민국,수도권,경기도,시흥시,OFF-EN-10002166,사무용품,봉투,31150.8,1,13372.2,0.00 
18,IN-2020-29963,2020-01-06,2020-01-10,일반 배송,CN-11710,하태오,소비자,대한민국,충청,충청남도,금산군,OFF-ST-10000344,사무용품,수납용품,51202.368,3,6128.568,0.17 
19,IN-2020-29963,2020-01-06,2020-01-10,일반 배송,CN-11710,하태오,소비자,대한민국,충청,충청남도,금산군,OFF-FA-10000549,사무용품,파스너,41550.516,7,-27636.084,0.47 
20,ID-2020-41632,2020-01-06,2020-01-13,일반 배송,GG-19660,한중수,홈 오피스,대한민국,수도권,경기도,성남시,OFF-PA-10003407,사무용품,종이,39544.686,3,11821.086,0.17 
21,ID-2020-41632,2020-01-06,2020-01-13,일반 배송,GG-19660,한중수,홈 오피스,대한민국,수도권,경기도,성남시,OFF-ST-10001631,사무용품,수납용품,91788.372,2,29853.972,0.17 
22,ID-2020-28752,2020-01-07,2020-01-12,일반 배송,JN-10060,배명희,홈 오피스,대한민국,호남,전라남도,함평군,OFF-LA-10002875,사무용품,라벨,18115.2,2,5569.2,0.00 
23,ID-2020-58670,2020-01-07,2020-01-11,일반 배송,GB-17365,손승우,소비자,대한민국,대경권,경상북도,영천시,OFF-AR-10003684,사무용품,필기구,28005.12,1,-4583.88,0.45 
24,ID-2020-58670,2020-01-07,2020-01-11,일반 배송,GB-17365,손승우,소비자,대한민국,대경권,경상북도,영천시,TEC-MA-10000868,사무기기,전산기기,454318.2,7,-139444.2,0.25 
25,ID-2020-58670,2020-01-07,2020-01-11,일반 배송,GB-17365,손승우,소비자,대한민국,대경권,경상북도,영천시,TEC-MA-10004482,사무기기,전산기기,395267.85,3,26323.65,0.25 
26,ID-2020-58670,2020-01-07,2020-01-11,일반 배송,GB-17365,손승우,소비자,대한민국,대경권,경상북도,영천시,TEC-AC-10003413,사무기기,악세사리,279176.04,2,-45734.76,0.45 
27,IN-2020-19330,2020-01-08,2020-01-12,일반 배송,GG-18595,조동관,홈 오피스,대한민국,수도권,경기도,용인시,TEC-MA-10002468,사무기기,전산기기,2216970,7,266036.4,0.00 
28,ID-2020-20814,2020-01-09,2020-01-13,일반 배송,GG-13705,박혜미,기업 고객,대한민국,수도권,경기도,안양시,TEC-PH-10001730,사무기기,전화기,244531.944,2,-11834.856,0.17 
29,IN-2020-69366,2020-01-09,2020-01-14,일반 배송,SE-10270,백하준,소비자,대한민국,수도권,서울특별시,성동구,OFF-LA-10000668,사무용품,라벨,46097.37,5,18251.37,0.17 
30,IN-2020-69366,2020-01-09,2020-01-14,일반 배송,SE-10270,백하준,소비자,대한민국,수도권,서울특별시,성동구,TEC-AC-10000354,사무기기,악세사리,180214.416,6,-159812.784,0.47 
31,IN-2020-69366,2020-01-09,2020-01-14,일반 배송,SE-10270,백하준,소비자,대한민국,수도권,서울특별시,성동구,OFF-BI-10003874,사무용품,바인더,9803.628,2,72.828,0.17 
32,IN-2020-69366,2020-01-09,2020-01-14,일반 배송,SE-10270,백하준,소비자,대한민국,수도권,서울특별시,성동구,TEC-PH-10003823,사무기기,전화기,126228.06,2,33448.86,0.17 
33,ID-2020-46483,2020-01-09,2020-01-13,일반 배송,SE-20050,차진미,홈 오피스,대한민국,수도권,서울특별시,서초구,OFF-ST-10001342,사무용품,수납용품,160978.95,5,-3037.05,0.45 
34,ID-2020-46483,2020-01-09,2020-01-13,일반 배송,SE-20050,차진미,홈 오피스,대한민국,수도권,서울특별시,서초구,OFF-FA-10000577,사무용품,파스너,52661.07,7,4680.27,0.45 
35,ID-2020-46483,2020-01-09,2020-01-13,일반 배송,SE-20050,차진미,홈 오피스,대한민국,수도권,서울특별시,서초구,OFF-PA-10003405,사무용품,종이,9508.95,1,-1751.85,0.45 
36,IN-2020-61302,2020-01-10,2020-01-11,특급 배송,BS-12865,류주호,소비자,대한민국,부울경,부산광역시,사하구,OFF-LA-10000879,사무용품,라벨,31065.12,4,12337.92,0.10 
37,IN-2020-61302,2020-01-10,2020-01-11,특급 배송,BS-12865,류주호,소비자,대한민국,부울경,부산광역시,사하구,OFF-PA-10003731,사무용품,종이,164744.28,6,54767.88,0.10 
38,IN-2020-61302,2020-01-10,2020-01-11,특급 배송,BS-12865,류주호,소비자,대한민국,부울경,부산광역시,사하구,TEC-PH-10004664,사무기기,전화기,2932596.9,5,521316.9,0.10 
39,ID-2020-13660,2020-01-10,2020-01-15,일반 배송,JB-11605,진은준,소비자,대한민국,호남,전라북도,진안군,OFF-FA-10003615,사무용품,파스너,12747.348,3,-5796.252,0.47 
40,IN-2020-13065,2020-01-10,2020-01-11,특급 배송,US-18865,최유미,소비자,대한민국,부울경,울산광역시,울주군,OFF-SU-10003559,사무용품,일반 사무용품,26438.4,2,5508,0.00 
41,IN-2020-13065,2020-01-10,2020-01-11,특급 배송,US-18865,최유미,소비자,대한민국,부울경,울산광역시,울주군,OFF-BI-10002853,사무용품,바인더,34975.8,3,16432.2,0.00 
42,IN-2020-79761,2020-01-11,2020-01-16,일반 배송,GN-20680,문노아,홈 오피스,대한민국,부울경,경상남도,진주시,FUR-FU-10000256,가구,가구류,79269.3,2,24250.5,0.25 
43,IN-2020-79761,2020-01-11,2020-01-16,일반 배송,GN-20680,문노아,홈 오피스,대한민국,부울경,경상남도,진주시,TEC-CO-10001895,사무기기,복사기,710789.04,3,-349959.96,0.35 
44,IN-2020-39308,2020-01-11,2020-01-18,일반 배송,IC-13135,문익현,소비자,대한민국,수도권,인천광역시,부평구,TEC-PH-10002806,사무기기,전화기,565461.072,4,40854.672,0.17 
45,IN-2020-39308,2020-01-11,2020-01-18,일반 배송,IC-13135,문익현,소비자,대한민국,수도권,인천광역시,부평구,OFF-BI-10004334,사무용품,바인더,5003.406,1,-14.994,0.17 
46,IN-2020-39308,2020-01-11,2020-01-18,일반 배송,IC-13135,문익현,소비자,대한민국,수도권,인천광역시,부평구,FUR-FU-10001096,가구,가구류,191324.97,5,2522.97,0.27 
47,IN-2020-39308,2020-01-11,2020-01-18,일반 배송,IC-13135,문익현,소비자,대한민국,수도권,인천광역시,부평구,OFF-AR-10003613,사무용품,필기구,340364.106,9,13739.706,0.27 
48,IN-2020-29872,2020-01-12,2020-01-16,일반 배송,IC-13465,오혜영,소비자,대한민국,수도권,인천광역시,부평구,FUR-FU-10001471,가구,가구류,144401.4,3,53427.6,0.00 
49,ID-2020-82589,2020-01-12,2020-01-16,일반 배송,SE-21040,하진미,홈 오피스,대한민국,수도권,서울특별시,관악구,OFF-EN-10000128,사무용품,봉투,117063.36,4,-48788.64,0.40 
50,IN-2020-38349,2020-01-13,2020-01-17,일반 배송,SE-11845,현다영,기업 고객,대한민국,수도권,서울특별시,용산구,OFF-LA-10002765,사무용품,라벨,16248.6,2,336.6,0.10 
51,ID-2020-16453,2020-01-14,2020-01-21,일반 배송,GG-18295,나수호,기업 고객,대한민국,수도권,경기도,구리시,FUR-FU-10000944,가구,가구류,100727.55,3,-24212.25,0.25 
52,ID-2020-16453,2020-01-14,2020-01-21,일반 배송,GG-18295,나수호,기업 고객,대한민국,수도권,경기도,구리시,OFF-ST-10004015,사무용품,수납용품,81591.84,3,5856.84,0.45 
53,ID-2020-38832,2020-01-15,2020-01-15,당일 배송,SE-18100,정희성,소비자,대한민국,수도권,서울특별시,서초구,OFF-AR-10000989,사무용품,필기구,152970.624,4,-50335.776,0.27 
54,ID-2020-38832,2020-01-15,2020-01-15,당일 배송,SE-18100,정희성,소비자,대한민국,수도권,서울특별시,서초구,OFF-AR-10000251,사무용품,필기구,52404.948,3,-12.852,0.27 
55,IN-2020-78501,2020-01-16,2020-01-20,일반 배송,CN-21025,박동광,홈 오피스,대한민국,충청,충청남도,예산군,OFF-AR-10004138,사무용품,필기구,18947.52,2,5238.72,0.10 
56,ID-2020-80538,2020-01-17,2020-01-18,특급 배송,JB-21835,최영우,소비자,대한민국,호남,전라북도,고창군,OFF-BI-10001397,사무용품,바인더,37895.04,4,-9473.76,0.40 
57,IN-2020-45020,2020-01-18,2020-01-22,일반 배송,JB-19030,민형석,기업 고객,대한민국,호남,전라북도,고창군,TEC-CO-10004267,사무기기,복사기,283964.94,3,-108204.66,0.37 
58,IN-2020-43585,2020-01-19,2020-01-20,특급 배송,BS-21325,권은아,소비자,대한민국,부울경,부산광역시,서구,FUR-FU-10001096,가구,가구류,141528.06,3,28246.86,0.10 
59,ID-2020-63017,2020-01-20,2020-01-24,일반 배송,JB-19030,민형석,기업 고객,대한민국,호남,전라북도,고창군,OFF-AR-10003110,사무용품,필기구,52611.192,2,-24868.008,0.47 
60,ID-2020-86950,2020-01-21,2020-01-22,특급 배송,JN-20875,정연태,소비자,대한민국,호남,전라남도,영광군,OFF-FA-10003816,사무용품,파스너,6444.36,1,-3990.24,0.40 
61,ID-2020-86950,2020-01-22,2020-01-23,특급 배송,JN-20875,정연태,소비자,대한민국,호남,전라남도,영광군,OFF-AR-10000751,사무용품,필기구,60918.48,6,-34553.52,0.40 
62,IN-2020-20737,2020-01-23,2020-01-28,일반 배송,CN-16885,강재환,소비자,대한민국,충청,충청남도,천안시,TEC-AC-10001438,사무기기,악세사리,113024.16,3,8739.36,0.10 
63,IN-2020-64557,2020-01-23,2020-01-28,일반 배송,SE-18220,구승혁,소비자,대한민국,수도권,서울특별시,용산구,OFF-BI-10002885,사무용품,바인더,12114.846,3,4311.846,0.17 
64,IN-2020-85459,2020-01-24,2020-01-30,일반 배송,GG-15580,문율,소비자,대한민국,수도권,경기도,평택시,OFF-EN-10003770,사무용품,봉투,428828.4,14,149940,0.00 
65,IN-2020-85459,2020-01-24,2020-01-30,일반 배송,GG-15580,문율,소비자,대한민국,수도권,경기도,평택시,FUR-FU-10000702,가구,가구류,224359.2,2,8935.2,0.00 
66,IN-2020-85459,2020-01-24,2020-01-30,일반 배송,GG-15580,문율,소비자,대한민국,수도권,경기도,평택시,OFF-AR-10000340,사무용품,필기구,141984,8,66585.6,0.00 
67,IN-2020-10552,2020-01-24,2020-01-30,일반 배송,DJ-12430,임호섭,홈 오피스,대한민국,충청,대전광역시,유성구,OFF-LA-10004430,사무용품,라벨,60435,5,28305,0.00 
68,IN-2020-53658,2020-01-25,2020-01-27,빠른 배송,SE-17215,안병철,소비자,대한민국,수도권,서울특별시,강북구,OFF-PA-10000453,사무용품,종이,100184.4,2,35006.4,0.00 
69,ID-2020-36011,2020-01-26,2020-01-27,특급 배송,JB-14890,강효정,기업 고객,대한민국,호남,전라북도,김제시,FUR-CH-10003950,가구,의자,340989.57,1,-112135.23,0.27 
70,IN-2020-15270,2020-01-26,2020-01-31,일반 배송,GB-12265,문규리,소비자,대한민국,대경권,경상북도,김천시,OFF-ST-10004365,사무용품,수납용품,144540.018,3,52189.218,0.17 
71,IN-2020-31496,2020-01-26,2020-01-28,빠른 배송,BS-18445,조우철,홈 오피스,대한민국,부울경,부산광역시,수영구,OFF-PA-10000070,사무용품,종이,80967.6,3,25887.6,0.00 
72,IN-2020-76198,2020-01-26,2020-02-01,일반 배송,SE-10645,차동엽,소비자,대한민국,수도권,서울특별시,중랑구,OFF-AR-10002256,사무용품,필기구,349360.2,7,55692,0.00 
73,ID-2020-78102,2020-01-27,2020-02-02,일반 배송,GG-13360,윤은경,홈 오피스,대한민국,수도권,경기도,안성시,OFF-EN-10004144,사무용품,봉투,83701.098,13,-17737.902,0.47 
74,IN-2020-50704,2020-01-27,2020-02-01,일반 배송,US-18865,최유미,소비자,대한민국,부울경,울산광역시,울주군,OFF-EN-10000328,사무용품,봉투,40759.2,2,15483.6,0.00 
75,IN-2020-33890,2020-01-27,2020-02-01,일반 배송,GN-16450,최이슬,기업 고객,대한민국,부울경,경상남도,사천시,TEC-MA-10002931,사무기기,전산기기,374207.4,7,108385.2,0.00 
76,IN-2020-63990,2020-01-28,2020-02-02,일반 배송,US-15700,고희덕,소비자,대한민국,부울경,울산광역시,중구,TEC-CO-10002119,사무기기,복사기,542152.44,2,48146.04,0.10 
77,ID-2020-42164,2020-01-28,2020-01-30,빠른 배송,GW-17965,전민정,기업 고객,대한민국,강원,강원도,속초시,OFF-EN-10002472,사무용품,봉투,134690.49,5,-5151.51,0.47 
78,ID-2020-42164,2020-01-28,2020-01-30,빠른 배송,GW-17965,전민정,기업 고객,대한민국,강원,강원도,속초시,OFF-SU-10000375,사무용품,일반 사무용품,92037.15,5,-52241.85,0.47 
79,ID-2020-80545,2020-01-29,2020-01-29,당일 배송,JB-14800,윤대권,기업 고객,대한민국,호남,전라북도,전주시,FUR-CH-10003618,가구,의자,165129.84,2,-30281.76,0.40 
80,IN-2020-72334,2020-01-30,2020-02-05,일반 배송,GG-20200,문제원,소비자,대한민국,수도권,경기도,화성시,OFF-BI-10004181,사무용품,바인더,167259.6,6,18360,0.00 
81,IN-2020-81833,2020-01-31,2020-02-06,일반 배송,BS-21610,정인희,소비자,대한민국,부울경,부산광역시,남구,OFF-ST-10001057,사무용품,수납용품,32742,2,9486,0.00 
82,IN-2020-81833,2020-01-31,2020-02-06,일반 배송,BS-21610,정인희,소비자,대한민국,부울경,부산광역시,남구,TEC-PH-10004575,사무기기,전화기,2622542.4,4,104896.8,0.00 
